Body,Network,Series,Batch,Geometric Mean
1-Pendulum,CLNN,avg_rel_err_pert,38,3.884762280615719e-05
1-Pendulum,CLNN,avg_rel_err_pert,39,2.0351191450231623e-05
1-Pendulum,CLNN,avg_rel_err_pert,40,3.436594553735108e-05
1-Pendulum,CLNN,avg_rel_err_pert,41,3.765395329953127e-05
1-Pendulum,CLNN,avg_rel_err_pert,42,8.562276950515054e-06
1-Pendulum,CLNN,avg_rel_err_pert,43,2.106788624340645e-05
1-Pendulum,CLNN,avg_rel_err_pert,44,0.00011208774551082771
1-Pendulum,CLNN,avg_rel_err_pert,45,3.782329797513079e-05
1-Pendulum,CLNN,avg_rel_err_pert,46,2.57536790814613e-05
1-Pendulum,CLNN,avg_rel_err_pert,47,1.5324276325024505e-05
1-Pendulum,CLNN,avg_rel_err_pert,48,3.0494804612901242e-05
1-Pendulum,CLNN,avg_rel_err_pert,49,5.145668393330091e-05
1-Pendulum,CLNN,avg_rel_err_pert,50,3.099362463635464e-06
1-Pendulum,CLNN,avg_rel_err_pert,51,4.670983461679558e-05
1-Pendulum,CLNN,avg_rel_err_pert,52,2.3646596474306765e-05
1-Pendulum,CLNN,avg_rel_err_pert,53,7.42657704535527e-05
1-Pendulum,CLNN,avg_rel_err_pert,54,1.1201227767583313e-05
1-Pendulum,CLNN,avg_rel_err_pert,55,0.00014123545922374738
1-Pendulum,CLNN,avg_rel_err_pert,56,2.1758479985044255e-05
1-Pendulum,CLNN,avg_rel_err_pert,57,4.418965242996725e-05
1-Pendulum,CLNN,avg_rel_err_pert,58,4.243091754833491e-06
1-Pendulum,CLNN,avg_rel_err_pert,59,7.19385522718025e-05
1-Pendulum,CLNN,avg_rel_err_pert,60,5.3515069589433735e-05
1-Pendulum,CLNN,avg_rel_err_pert,61,3.815525918568463e-05
1-Pendulum,CLNN,avg_rel_err_pert,62,8.507012565808371e-05
1-Pendulum,CLNN,avg_rel_err_pert,63,7.923361812988622e-05
1-Pendulum,CLNN,avg_rel_err_pert,64,3.9437003063808635e-05
1-Pendulum,CLNN,avg_rel_err_pert,65,3.11214784970453e-05
1-Pendulum,CLNN,avg_rel_err_pert,66,2.1370404198847722e-05
1-Pendulum,CLNN,avg_rel_err_pert,67,3.332221307412935e-05
1-Pendulum,CLNN,avg_rel_err_pert,68,5.5725270648349793e-05
1-Pendulum,CLNN,avg_rel_err_pert,69,2.9712627860954738e-05
1-Pendulum,CLNN,avg_rel_err_pert,70,1.4455331393136036e-05
1-Pendulum,CLNN,avg_rel_err_pert,71,8.841487560111505e-05
1-Pendulum,CLNN,avg_rel_err_pert,72,6.104068592910189e-05
1-Pendulum,CLNN,avg_rel_err_pert,73,3.118312958480592e-05
1-Pendulum,CLNN,avg_rel_err_pert,74,0.0001087352132727917
1-Pendulum,CLNN,avg_rel_err_pert,75,3.8583564582912376e-05
1-Pendulum,CLNN,avg_rel_err_pert,76,0.00016558178103882613
1-Pendulum,CLNN,avg_rel_err_pert,77,6.876672947076313e-05
1-Pendulum,CLNN,avg_rel_err_pert,78,0.00012759598032023042
1-Pendulum,CLNN,avg_rel_err_pert,79,5.4147049463895506e-05
1-Pendulum,CLNN,avg_rel_err_pert,80,5.876042856582662e-06
1-Pendulum,CLNN,avg_rel_err_pert,81,3.827891089602815e-05
1-Pendulum,CLNN,avg_rel_err_pert,82,5.3212155654672804e-05
1-Pendulum,CLNN,avg_rel_err_pert,83,0.0001302111392593876
1-Pendulum,CLNN,avg_rel_err_pert,84,5.1996985935020734e-05
1-Pendulum,CLNN,avg_rel_err_pert,85,2.3525619524613894e-05
1-Pendulum,CLNN,avg_rel_err_pert,86,4.982545803663493e-05
1-Pendulum,CLNN,avg_rel_err_pert,87,4.9748104353986314e-05
1-Pendulum,CLNN,avg_rel_err_pert,88,2.1628969250725114e-05
1-Pendulum,CLNN,avg_rel_err_pert,89,2.2929477764000478e-05
1-Pendulum,CLNN,avg_rel_err_pert,90,4.11579910185401e-05
1-Pendulum,CLNN,avg_rel_err_pert,91,6.135854293116519e-05
1-Pendulum,CLNN,avg_rel_err_pert,92,6.817472003938048e-05
1-Pendulum,CLNN,avg_rel_err_pert,93,4.838584348196809e-05
1-Pendulum,CLNN,avg_rel_err_pert,94,3.18978398890639e-05
1-Pendulum,CLNN,avg_rel_err_pert,95,6.10714671185681e-05
1-Pendulum,CLNN,avg_rel_err_pert,96,2.317527351290742e-05
1-Pendulum,CLNN,avg_rel_err_pert,97,3.7163511484388436e-05
1-Pendulum,CLNN,avg_rel_err_pert,98,3.12735624221812e-05
1-Pendulum,CLNN,avg_rel_err_pert,99,3.784462394838277e-05
1-Pendulum,CLNN,avg_rel_err_pred,0,5.78320914766592e-05
1-Pendulum,CLNN,avg_rel_err_pred,1,4.839935682558283e-05
1-Pendulum,CLNN,avg_rel_err_pred,2,6.25287661812767e-05
1-Pendulum,CLNN,avg_rel_err_pred,3,0.00017787441006225605
1-Pendulum,CLNN,avg_rel_err_pred,4,2.1366862471369823e-05
1-Pendulum,CLNN,avg_rel_err_pred,5,4.1261449905283706e-05
1-Pendulum,CLNN,avg_rel_err_pred,6,8.485226467302445e-06
1-Pendulum,CLNN,avg_rel_err_pred,7,8.615456666162339e-05
1-Pendulum,CLNN,avg_rel_err_pred,8,3.4699123155663376e-05
1-Pendulum,CLNN,avg_rel_err_pred,9,3.9768993294358626e-05
1-Pendulum,CLNN,avg_rel_err_pred,10,0.00014136682290493224
1-Pendulum,CLNN,avg_rel_err_pred,11,2.2886613356961244e-05
1-Pendulum,CLNN,avg_rel_err_pred,12,0.00010415911414487888
1-Pendulum,CLNN,avg_rel_err_pred,13,9.912840631888331e-05
1-Pendulum,CLNN,avg_rel_err_pred,14,0.00017137202427771725
1-Pendulum,CLNN,avg_rel_err_pred,15,4.547833898690424e-05
1-Pendulum,CLNN,avg_rel_err_pred,16,7.563269880514561e-05
1-Pendulum,CLNN,avg_rel_err_pred,17,3.200073376109515e-05
1-Pendulum,CLNN,avg_rel_err_pred,18,5.853022416751355e-05
1-Pendulum,CLNN,avg_rel_err_pred,19,5.026526038844178e-05
1-Pendulum,CLNN,avg_rel_err_pred,20,3.782398908526662e-05
1-Pendulum,CLNN,avg_rel_err_pred,21,8.764522548324489e-05
1-Pendulum,CLNN,avg_rel_err_pred,22,0.0004266444390340599
1-Pendulum,CLNN,avg_rel_err_pred,23,0.0001156724513624827
1-Pendulum,CLNN,avg_rel_err_pred,24,6.48895795853278e-06
1-Pendulum,CLNN,avg_rel_err_pred,25,1.078936392732001e-05
1-Pendulum,CLNN,avg_rel_err_pred,26,9.22615469487503e-06
1-Pendulum,CLNN,avg_rel_err_pred,27,4.2871736154468415e-05
1-Pendulum,CLNN,avg_rel_err_pred,28,9.461713618846875e-05
1-Pendulum,CLNN,avg_rel_err_pred,29,7.351121441685025e-06
1-Pendulum,CLNN,avg_rel_err_pred,30,6.517757377491304e-05
1-Pendulum,CLNN,avg_rel_err_pred,31,0.00039495661625599753
1-Pendulum,CLNN,avg_rel_err_pred,32,5.530869541055798e-05
1-Pendulum,CLNN,avg_rel_err_pred,33,6.153736682799977e-05
1-Pendulum,CLNN,avg_rel_err_pred,34,7.10294019728208e-05
1-Pendulum,CLNN,avg_rel_err_pred,35,2.8517710439313188e-05
1-Pendulum,CLNN,avg_rel_err_pred,36,0.0001321938999638553
1-Pendulum,CLNN,avg_rel_err_pred,37,4.8678829288524363e-05
1-Pendulum,CLNN,avg_rel_err_pred,38,4.5487472527217373e-05
1-Pendulum,CLNN,avg_rel_err_pred,39,4.589018972988133e-05
1-Pendulum,CLNN,avg_rel_err_pred,40,5.98393542796139e-05
