n_train,Network,Series,Batch,Geometric Mean
10,CLNN,avg_rel_err_pred,7,0.02439488849855241
10,CLNN,avg_rel_err_pred,8,0.02278798018031125
10,CLNN,avg_rel_err_pred,9,0.009700654158060566
10,CLNN,avg_rel_err_pred,10,0.03989388067667581
10,CLNN,avg_rel_err_pred,11,0.4425898406850368
10,CLNN,avg_rel_err_pred,12,0.008489372609358295
10,CLNN,avg_rel_err_pred,13,0.017555716800410466
10,CLNN,avg_rel_err_pred,14,0.01596828375374981
10,CLNN,avg_rel_err_pred,15,0.1306384143508861
10,CLNN,avg_rel_err_pred,16,0.008172033880562767
10,CLNN,avg_rel_err_pred,17,0.0024488929127959285
10,CLNN,avg_rel_err_pred,18,0.0030700933074905524
10,CLNN,avg_rel_err_pred,19,0.003970471751794419
10,CLNN,avg_rel_err_pred,20,0.007660869654249704
10,CLNN,avg_rel_err_pred,21,0.007354590005099496
10,CLNN,avg_rel_err_pred,22,0.0057626358902146384
10,CLNN,avg_rel_err_pred,23,0.011446232596494845
10,CLNN,avg_rel_err_pred,24,0.003876483893595308
10,CLNN,avg_rel_err_pred,25,0.004693470937468823
10,CLNN,avg_rel_err_pred,26,0.004616447505115944
10,CLNN,avg_rel_err_pred,27,0.02494044404939555
10,CLNN,avg_rel_err_pred,28,0.003900976731603497
10,CLNN,avg_rel_err_pred,29,0.011913427354899135
10,CLNN,avg_rel_err_pred,30,0.002869607544759126
10,CLNN,avg_rel_err_pred,31,0.2328226878165557
10,CLNN,avg_rel_err_pred,32,0.006849281400531936
10,CLNN,avg_rel_err_pred,33,0.0022242456459060788
10,CLNN,avg_rel_err_pred,34,0.22287643225533169
10,CLNN,avg_rel_err_pred,35,0.5244656036745903
10,CLNN,avg_rel_err_pred,36,0.24656105270900552
10,CLNN,avg_rel_err_pred,37,0.004195606971491664
10,CLNN,avg_rel_err_pred,38,0.006187130861965978
10,CLNN,avg_rel_err_pred,39,0.11303210972939974
10,CLNN,avg_rel_err_pred,40,0.013039097697297332
10,CLNN,avg_rel_err_pred,41,0.006389370761205955
10,CLNN,avg_rel_err_pred,42,0.007203178522034697
10,CLNN,avg_rel_err_pred,43,0.006890843412008324
10,CLNN,avg_rel_err_pred,44,0.04365538065303679
10,CLNN,avg_rel_err_pred,45,0.006109192220813194
10,CLNN,avg_rel_err_pred,46,0.07738239038670482
10,CLNN,avg_rel_err_pred,47,0.006638142524022071
10,CLNN,avg_rel_err_pred,48,0.00949797696774107
10,CLNN,avg_rel_err_pred,49,0.22078769331874407
10,CLNN,avg_rel_err_pred,50,0.004291682778742674
10,CLNN,avg_rel_err_pred,51,0.011307498105316501
10,CLNN,avg_rel_err_pred,52,0.014317044528452765
10,CLNN,avg_rel_err_pred,53,0.2892080857339986
